pin,slack
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:D,13740
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:Q,13944
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[8]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_19:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_19:C,16428
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_19:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_19:IPC,16428
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:ADn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:ALn,16293
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:CLK,16407
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:D,16218
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:EN,17134
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:LAT,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:Q,16407
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:SD,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[3]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_25:C,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_25:IPC,
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:ADn,
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:ALn,16293
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:CLK,16255
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:D,17374
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:EN,
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:LAT,
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:Q,16255
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:SD,
CoreUARTapb_0/uUART/make_TX/xmit_state[4]:SLn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:CLK,15004
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:D,15665
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:Q,15004
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_clock_int:SLn,
CoreUARTapb_0/uUART/make_RX/un1_samples8_1_0_0:A,17149
CoreUARTapb_0/uUART/make_RX/un1_samples8_1_0_0:B,17135
CoreUARTapb_0/uUART/make_RX/un1_samples8_1_0_0:C,15807
CoreUARTapb_0/uUART/make_RX/un1_samples8_1_0_0:D,15657
CoreUARTapb_0/uUART/make_RX/un1_samples8_1_0_0:Y,15657
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_13:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_13:C,16869
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_13:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_13:IPC,16869
COREABC_0/PSELI:ADn,
COREABC_0/PSELI:ALn,16293
COREABC_0/PSELI:CLK,15791
COREABC_0/PSELI:D,15668
COREABC_0/PSELI:EN,
COREABC_0/PSELI:LAT,
COREABC_0/PSELI:Q,15791
COREABC_0/PSELI:SD,
COREABC_0/PSELI:SLn,
COREABC_0/RSTSYNC2_RNIK5VD/U0_RGB1:An,
COREABC_0/RSTSYNC2_RNIK5VD/U0_RGB1:ENn,
COREABC_0/RSTSYNC2_RNIK5VD/U0_RGB1:YL,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_pulse:A,15004
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_pulse:B,15041
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_pulse:Y,15004
COREABC_0/ACCUM_NEXT_6_ns[6]:A,17484
COREABC_0/ACCUM_NEXT_6_ns[6]:B,17281
COREABC_0/ACCUM_NEXT_6_ns[6]:C,17125
COREABC_0/ACCUM_NEXT_6_ns[6]:D,13359
COREABC_0/ACCUM_NEXT_6_ns[6]:Y,13359
COREABC_0/un1_ACCUMULATOR_0_cry_1:A,
COREABC_0/un1_ACCUMULATOR_0_cry_1:B,13670
COREABC_0/un1_ACCUMULATOR_0_cry_1:C,
COREABC_0/un1_ACCUMULATOR_0_cry_1:CC,13834
COREABC_0/un1_ACCUMULATOR_0_cry_1:D,
COREABC_0/un1_ACCUMULATOR_0_cry_1:P,13670
COREABC_0/un1_ACCUMULATOR_0_cry_1:S,13834
COREABC_0/un1_ACCUMULATOR_0_cry_1:UB,
CoreUARTapb_0/uUART/make_RX/rx_state_ns_1_0__N_20_i:A,15132
CoreUARTapb_0/uUART/make_RX/rx_state_ns_1_0__N_20_i:B,13990
CoreUARTapb_0/uUART/make_RX/rx_state_ns_1_0__N_20_i:C,13609
CoreUARTapb_0/uUART/make_RX/rx_state_ns_1_0__N_20_i:Y,13609
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_8:C,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_8:IPC,
COREABC_0/un1_ICYCLE_6_i_a3_RNIHVT71:A,17243
COREABC_0/un1_ICYCLE_6_i_a3_RNIHVT71:B,17050
COREABC_0/un1_ICYCLE_6_i_a3_RNIHVT71:C,16973
COREABC_0/un1_ICYCLE_6_i_a3_RNIHVT71:D,15691
COREABC_0/un1_ICYCLE_6_i_a3_RNIHVT71:Y,15691
FCCC_0/CCC_INST/IP_INTERFACE_1:A,
FCCC_0/CCC_INST/IP_INTERFACE_1:B,
FCCC_0/CCC_INST/IP_INTERFACE_1:C,
FCCC_0/CCC_INST/IP_INTERFACE_1:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_1:IPB,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:CLK,17256
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:D,16251
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:Q,17256
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[1]:SLn,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:CLK,17382
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:D,18479
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:EN,14640
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:Q,17382
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:SD,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[5]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_32:C,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_32:IPC,
COREABC_0/ACCUM_NEXT_6[4]:A,17484
COREABC_0/ACCUM_NEXT_6[4]:B,17281
COREABC_0/ACCUM_NEXT_6[4]:C,17125
COREABC_0/ACCUM_NEXT_6[4]:D,13702
COREABC_0/ACCUM_NEXT_6[4]:Y,13702
FCCC_0/CCC_INST/IP_INTERFACE_5:A,
FCCC_0/CCC_INST/IP_INTERFACE_5:B,
FCCC_0/CCC_INST/IP_INTERFACE_5:C,
FCCC_0/CCC_INST/IP_INTERFACE_5:IPB,
FCCC_0/CCC_INST/IP_INTERFACE_5:IPC,
COREABC_0/un5_ramwdata_s_1_49:A,
COREABC_0/un5_ramwdata_s_1_49:B,14971
COREABC_0/un5_ramwdata_s_1_49:C,
COREABC_0/un5_ramwdata_s_1_49:CC,
COREABC_0/un5_ramwdata_s_1_49:D,
COREABC_0/un5_ramwdata_s_1_49:P,14971
COREABC_0/un5_ramwdata_s_1_49:UB,
COREABC_0/un5_ramwdata_cry_2:A,
COREABC_0/un5_ramwdata_cry_2:B,15177
COREABC_0/un5_ramwdata_cry_2:C,
COREABC_0/un5_ramwdata_cry_2:CC,15635
COREABC_0/un5_ramwdata_cry_2:D,
COREABC_0/un5_ramwdata_cry_2:P,15177
COREABC_0/un5_ramwdata_cry_2:S,15635
COREABC_0/un5_ramwdata_cry_2:UB,
CoreUARTapb_0/uUART/make_TX/txrdy_int_1_sqmuxa_i:A,14911
CoreUARTapb_0/uUART/make_TX/txrdy_int_1_sqmuxa_i:B,17221
CoreUARTapb_0/uUART/make_TX/txrdy_int_1_sqmuxa_i:C,15975
CoreUARTapb_0/uUART/make_TX/txrdy_int_1_sqmuxa_i:Y,14911
COREABC_0/un1_STKPTR_1_SUM_0_o2_0[0]:A,15057
COREABC_0/un1_STKPTR_1_SUM_0_o2_0[0]:B,14928
COREABC_0/un1_STKPTR_1_SUM_0_o2_0[0]:C,14877
COREABC_0/un1_STKPTR_1_SUM_0_o2_0[0]:Y,14877
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[0],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[10],13643
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[11],13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[1],15249
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[2],15175
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[3],14853
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[4],14773
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[5],14714
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[6],13860
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[7],13736
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[8],13664
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CC[9],13740
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CI,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:CO,13637
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[0],14628
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[10],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[11],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[1],16294
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[2],13658
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[3],13608
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[4],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[5],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[6],13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[7],13712
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[8],13799
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:P[9],13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[0],14448
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[10],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[11],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[1],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[2],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[3],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[4],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[5],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[6],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[7],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[8],
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1_RNIQFHL1_CC_0:UB[9],
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_29:C,17067
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_29:IPC,17067
COREABC_0/RSTSYNC2_RNIK5VD/U0:An,
COREABC_0/RSTSYNC2_RNIK5VD/U0:ENn,
COREABC_0/RSTSYNC2_RNIK5VD/U0:YNn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_CO0:A,15906
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_CO0:B,15946
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_CO0:Y,15906
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:CLK,13907
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:D,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:Q,13907
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[10]:SLn,
COREABC_0/SMADDR[3]:ADn,
COREABC_0/SMADDR[3]:ALn,16293
COREABC_0/SMADDR[3]:CLK,15187
COREABC_0/SMADDR[3]:D,15110
COREABC_0/SMADDR[3]:EN,15691
COREABC_0/SMADDR[3]:LAT,
COREABC_0/SMADDR[3]:Q,15187
COREABC_0/SMADDR[3]:SD,
COREABC_0/SMADDR[3]:SLn,
COREABC_0/ICYCLE_ns_1_0__m4_ns:A,17374
COREABC_0/ICYCLE_ns_1_0__m4_ns:B,17315
COREABC_0/ICYCLE_ns_1_0__m4_ns:C,17125
COREABC_0/ICYCLE_ns_1_0__m4_ns:D,15637
COREABC_0/ICYCLE_ns_1_0__m4_ns:Y,15637
SDAO_obuf[0]/U0/U_IOOUTFF:A,
SDAO_obuf[0]/U0/U_IOOUTFF:Y,
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:CLK,15066
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:Q,15066
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[7]:SLn,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:CLK,17382
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:D,18479
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:EN,14640
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:Q,17382
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:SD,
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5[7]:SLn,
COREABC_0/loop5_un22_flagvalue:A,13686
COREABC_0/loop5_un22_flagvalue:B,13592
COREABC_0/loop5_un22_flagvalue:Y,13592
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5_1_sqmuxa_0_a3:A,16170
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5_1_sqmuxa_0_a3:B,14640
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5_1_sqmuxa_0_a3:C,17142
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5_1_sqmuxa_0_a3:D,16815
CoreUARTapb_0/uUART/make_RX/rx_byte_xhdl5_1_sqmuxa_0_a3:Y,14640
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:A,14806
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:B,13765
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:C,13546
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:CC,13702
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:D,13298
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:P,
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:S,13702
COREABC_0/un1_ACCUMULATOR_0_cry_4_0:UB,13298
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_23:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_12:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_12:C,17490
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_12:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_12:IPC,17490
COREABC_0/SMADDR_12_iv_3_126:A,17329
COREABC_0/SMADDR_12_iv_3_126:B,17308
COREABC_0/SMADDR_12_iv_3_126:C,15490
COREABC_0/SMADDR_12_iv_3_126:D,14970
COREABC_0/SMADDR_12_iv_3_126:Y,14970
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:CLK,15221
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:Q,15221
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[3]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_16:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_16:C,16479
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_16:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_16:IPC,16479
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:CLK,15079
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:D,14731
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:EN,
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:Q,15079
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:SD,
CoreUARTapb_0/uUART/make_RX/rx_bit_cnt[1]:SLn,
COREABC_0/flagvalue_1:A,14844
COREABC_0/flagvalue_1:B,14766
COREABC_0/flagvalue_1:C,13592
COREABC_0/flagvalue_1:D,14521
COREABC_0/flagvalue_1:Y,13592
COREABC_0/ACCUM_NEXT_6_ns_1[1]:A,16042
COREABC_0/ACCUM_NEXT_6_ns_1[1]:B,15773
COREABC_0/ACCUM_NEXT_6_ns_1[1]:C,15712
COREABC_0/ACCUM_NEXT_6_ns_1[1]:D,13834
COREABC_0/ACCUM_NEXT_6_ns_1[1]:Y,13834
TX_obuf/U0/U_IOOUTFF:A,
TX_obuf/U0/U_IOOUTFF:Y,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_un8_baud_clock_int:A,17468
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_un8_baud_clock_int:B,17374
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_un8_baud_clock_int:C,17305
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_un8_baud_clock_int:D,17154
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_un8_baud_clock_int:Y,17154
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:A,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:B,14402
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:C,17133
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:CC,14714
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:D,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:P,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:S,14402
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNI0NRA5[4]:UB,
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[4]:A,17406
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[4]:B,17382
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[4]:Y,17382
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_o4[0]:A,16255
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_o4[0]:B,15004
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_o4[0]:C,16114
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_o4[0]:D,15982
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_o4[0]:Y,15004
CoreUARTapb_0/uUART/make_RX/rx_state_RNIHP0T[0]:A,14873
CoreUARTapb_0/uUART/make_RX/rx_state_RNIHP0T[0]:B,13645
